ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 2,97 0,99 0,00 0,00 3,96 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:12
2 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:14
3 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:16
4 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:19
5 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:21
6 1,98 0,99 0,00 0,00 2,97 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:23
7 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:25
8 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:27
9 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:29
10 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:31
11 2,00 0,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:33
12 0,98 0,00 0,00 0,00 0,98 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:35
13 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:37
14 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:39
15 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:41
16 0,00 1,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:43
17 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:45
18 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:47
19 0,00 1,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:49
20 2,00 0,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:51
21 1,00 0,00 0,00 0,00 1,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:53
22 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:55
23 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:35:58
24 0,00 0,00 0,00 0,00 0,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:36:00
25 1,00 1,00 0,00 0,00 2,00 0,00 0,00 32,02 67 0 1948320 3634812 28/09/22 21:36:02
26 64,00 23,00 0,00 0,00 87,00 36,00 0,00 32,02 88 0 1948320 3634812 28/09/22 21:36:04
