Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 1694928 2907152 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 2400 7 0 2004 7 0 28/09/22 20:39:09
2 1695168 2906908 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 206 2 0 0 0 0 28/09/22 20:39:10
3 1706120 2895952 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 1900 6 0 1938 6 0 28/09/22 20:39:11
4 1706080 2895992 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 1480 4 0 1330 5 0 28/09/22 20:39:12
5 1706092 2895968 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 1913 6 0 1951 6 0 28/09/22 20:39:13
6 1695524 2906536 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 1311 3 0 132 2 0 28/09/22 20:39:14
7 1695564 2906496 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 1966 7 0 2617 7 0 28/09/22 20:39:15
8 1698660 2903400 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 526 3 0 386 4 0 28/09/22 20:39:16
9 1698296 2903748 1084 0 0 1992552 108280 6% 0.46 0.25 2.02 0.04 97.22 2478 9 0 2941 11 0 28/09/22 20:39:17
10 1729680 2871968 1084 0 0 1992552 108280 6% 0.47 0.25 2.02 0.04 97.21 12291 14 0 1791 14 0 28/09/22 20:39:18
11 1715224 2886356 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2398 7 0 2004 7 0 28/09/22 20:39:19
12 1715688 2885868 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2020 7 0 1938 6 0 28/09/22 20:39:21
13 1716004 2885544 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 0 0 0 0 0 0 28/09/22 20:39:22
14 1717388 2884000 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 3396 10 0 3292 11 0 28/09/22 20:39:23
15 1717352 2884024 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 622 2 0 66 1 0 28/09/22 20:39:24
16 1701292 2900084 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 3349 9 0 2757 9 0 28/09/22 20:39:25
17 1701048 2900328 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 528 3 0 386 4 0 28/09/22 20:39:26
18 1701048 2900328 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2488 9 0 2764 9 0 28/09/22 20:39:27
19 1701080 2900296 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 120 1 0 0 0 0 28/09/22 20:39:28
20 1701452 2899924 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2408 7 0 2008 7 0 28/09/22 20:39:29
21 1701076 2900296 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 120 1 0 0 0 0 28/09/22 20:39:30
22 1701188 2900184 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1906 6 0 1942 6 0 28/09/22 20:39:31
23 1701188 2900184 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1550 5 0 1398 6 0 28/09/22 20:39:32
24 1701180 2900192 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1976 7 0 1950 6 0 28/09/22 20:39:33
25 1704184 2897184 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2931 7 0 1165 6 0 28/09/22 20:39:34
26 1703512 2897852 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 66 1 0 681 1 0 28/09/22 20:39:36
27 1704364 2897000 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2209 9 0 2138 7 0 28/09/22 20:39:37
28 1703448 2897916 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 387 1 0 614 2 0 28/09/22 20:39:38
29 1702472 2898892 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2514 8 0 2000 7 0 28/09/22 20:39:39
30 1701668 2899696 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 66 1 0 66 1 0 28/09/22 20:39:40
31 1702472 2898892 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1896 6 0 1934 6 0 28/09/22 20:39:41
32 1701700 2899664 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1480 4 0 1326 5 0 28/09/22 20:39:42
33 1702504 2898860 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2404 7 0 2008 7 0 28/09/22 20:39:43
34 1701772 2899592 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1579 4 0 132 2 0 28/09/22 20:39:44
35 1702536 2898828 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1970 7 0 2623 7 0 28/09/22 20:39:45
36 1702168 2899196 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 528 3 0 386 4 0 28/09/22 20:39:46
37 1702852 2898512 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 2484 9 0 2762 9 0 28/09/22 20:39:47
38 1701788 2899576 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 686 3 0 132 2 0 28/09/22 20:39:48
39 1702596 2898764 1092 0 0 1992552 108280 6% 0.47 0.26 2.02 0.04 97.21 1904 6 0 1942 6 0 28/09/22 20:39:49
