ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 5.94 0.99 0.00 0.00 6.93 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:25:47
2 2.00 0.00 0.00 0.00 2.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:25:49
3 1.00 1.00 0.00 0.00 2.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:25:51
4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:25:53
5 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:25:55
6 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:25:57
7 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:26:00
8 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:26:02
9 0.00 1.00 0.00 0.00 1.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:26:04
10 0.99 0.99 0.00 0.00 1.98 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:26:06
11 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:26:08
12 1.00 1.00 0.00 0.00 2.00 0.00 0.00 31.41 65 0 1910956 3562228 28/09/22 21:26:10
13 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:12
14 2.00 1.00 0.00 0.00 3.00 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:14
15 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:16
16 0.99 0.00 0.00 0.00 0.99 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:18
17 0.00 1.00 0.00 0.00 1.00 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:20
18 1.00 0.00 0.00 0.00 1.00 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:22
19 0.99 0.99 0.00 0.00 1.98 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:24
20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 31.40 65 0 1910820 3562228 28/09/22 21:26:26
