ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:44:59
2 2.00 1.00 0.00 0.00 3.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:01
3 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:03
4 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:05
5 0.00 0.99 0.00 0.00 0.99 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:07
6 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:09
7 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:11
8 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:13
9 1.00 1.00 0.00 0.00 2.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:15
10 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:17
11 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:19
12 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:21
13 3.00 1.00 0.00 0.00 4.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:24
14 1.00 0.00 0.00 0.00 1.00 0.00 0.00 37.19 69 0 2263136 3959972 29/09/22 23:45:26
15 17.00 5.00 0.00 0.00 22.00 2111.00 0.00 37.40 72 0 2275896 3974176 29/09/22 23:45:28
16 21.78 7.92 0.00 0.00 29.70 0.99 0.00 37.32 72 0 2270460 3974176 29/09/22 23:45:30
17 31.00 5.00 0.00 0.00 36.00 29.00 0.00 37.17 72 0 2261748 3974176 29/09/22 23:45:32
18 29.00 10.00 0.00 0.00 39.00 20.00 0.00 37.01 72 0 2252196 3974176 29/09/22 23:45:34
19 36.00 6.00 0.00 0.00 42.00 32.00 0.00 36.86 72 0 2242404 3974176 29/09/22 23:45:36
20 39.60 9.90 0.00 0.00 49.50 244.55 0.00 36.74 72 0 2235280 3974176 29/09/22 23:45:38
21 33.00 4.00 0.00 0.00 37.00 12.00 0.00 36.59 72 0 2226464 3974176 29/09/22 23:45:40
22 32.00 6.00 0.00 0.00 38.00 0.00 0.00 36.44 72 0 2217500 3974176 29/09/22 23:45:42
23 23.00 2.00 0.00 0.00 25.00 0.00 0.00 36.31 72 0 2209568 3974176 29/09/22 23:45:44
24 40.00 5.00 0.00 0.00 45.00 141.00 0.00 36.21 72 0 2203124 3974176 29/09/22 23:45:46
25 16.00 6.00 0.00 0.00 22.00 227.00 0.00 36.10 72 0 2196812 3974176 29/09/22 23:45:48
26 32.00 4.00 0.00 0.00 36.00 0.00 0.00 35.95 72 0 2187532 3974176 29/09/22 23:45:50
27 33.00 5.00 0.00 0.00 38.00 0.00 0.00 35.80 72 0 2178444 3974176 29/09/22 23:45:52
28 11.00 4.00 0.00 0.00 15.00 229.00 0.00 35.78 72 0 2177216 3974176 29/09/22 23:45:54
29 28.00 7.00 0.00 0.00 35.00 0.00 0.00 35.66 72 0 2169956 3974176 29/09/22 23:45:56
30 27.00 9.00 0.00 0.00 36.00 32.00 0.00 35.57 72 0 2163704 3974176 29/09/22 23:45:58
31 31.00 4.00 0.00 0.00 35.00 90.00 0.00 35.45 72 0 2156936 3974176 29/09/22 23:46:00
32 35.00 3.00 0.00 0.00 38.00 0.00 0.00 35.33 73 0 2149472 3974176 29/09/22 23:46:02
33 30.00 7.00 0.00 0.00 37.00 28.00 0.00 35.18 73 0 2140080 3974176 29/09/22 23:46:04
34 35.00 5.00 0.00 0.00 40.00 6.00 0.00 35.03 73 0 2130748 3974176 29/09/22 23:46:06
35 32.00 6.00 0.00 0.00 38.00 19.00 0.00 34.90 73 0 2123368 3974176 29/09/22 23:46:08
36 21.00 6.00 0.00 0.00 27.00 561.00 0.00 34.83 73 0 2119140 3974176 29/09/22 23:46:10
37 32.00 6.00 0.00 0.00 38.00 4.00 0.00 34.67 73 0 2109748 3974176 29/09/22 23:46:12
38 31.00 5.00 0.00 0.00 36.00 213.00 0.00 34.56 73 0 2102692 3974176 29/09/22 23:46:14
39 29.00 7.00 0.00 0.00 36.00 17.00 0.00 34.51 73 0 2099560 3974176 29/09/22 23:46:16
40 13.00 4.00 0.00 0.00 17.00 908.00 0.00 34.46 73 0 2096932 3974176 29/09/22 23:46:19
41 35.00 9.00 0.00 0.00 44.00 33.00 0.00 34.32 73 0 2087788 3974176 29/09/22 23:46:21
42 17.00 4.00 0.00 0.00 21.00 564.00 0.00 34.27 73 0 2085304 3974176 29/09/22 23:46:23
43 42.00 10.00 0.00 0.00 52.00 37.00 0.00 34.20 73 0 2080796 3974176 29/09/22 23:46:25
