Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 2339332 2241788 1088 0 0 1992552 108280 6% 2.51 1.90 7.79 0.15 87.64 1157 3 0 876 4 0 29/09/22 23:16:24
2 2339604 2241512 1088 0 0 1992552 108280 6% 2.51 1.90 7.79 0.15 87.64 1277 6 0 1460 6 0 29/09/22 23:16:25
3 2340896 2240220 1088 0 0 1992552 108280 6% 2.51 1.90 7.79 0.15 87.65 2082 5 0 1552 7 0 29/09/22 23:16:26
4 2340200 2240904 1088 0 0 1992552 108280 6% 2.51 1.90 7.78 0.15 87.65 2426 8 0 1881 5 0 29/09/22 23:16:27
5 2340628 2240472 1088 0 0 1992552 108280 6% 2.51 1.90 7.78 0.15 87.65 1037 2 0 876 4 0 29/09/22 23:16:28
6 2340108 2240992 1088 0 0 1992552 108280 6% 2.51 1.90 7.78 0.15 87.66 558 3 0 537 1 0 29/09/22 23:16:29
7 2340628 2240472 1088 0 0 1992552 108280 6% 2.51 1.90 7.77 0.15 87.66 1661 6 0 1617 6 0 29/09/22 23:16:30
8 2339896 2241204 1088 0 0 1992552 108280 6% 2.51 1.90 7.77 0.15 87.67 2632 9 0 3270 9 0 29/09/22 23:16:31
9 2340740 2240360 1088 0 0 1992552 108280 6% 2.51 1.90 7.77 0.15 87.67 1470 4 0 1415 5 0 29/09/22 23:16:32
10 2339908 2241188 1088 0 0 1992552 108280 6% 2.51 1.90 7.76 0.15 87.67 558 3 0 539 1 0 29/09/22 23:16:33
11 2340744 2240352 1088 0 0 1992552 108280 6% 2.51 1.90 7.76 0.15 87.68 1470 4 0 1415 5 0 29/09/22 23:16:34
12 2339828 2241268 1088 0 0 1992552 108280 6% 2.51 1.90 7.76 0.15 87.68 1550 8 0 1739 8 0 29/09/22 23:16:36
13 2340624 2240472 1088 0 0 1992552 108280 6% 2.51 1.90 7.75 0.15 87.69 1868 5 0 1412 5 0 29/09/22 23:16:37
14 2339880 2241212 1088 0 0 1992552 108280 6% 2.51 1.89 7.75 0.15 87.69 1159 3 0 876 4 0 29/09/22 23:16:38
15 2340684 2240408 1088 0 0 1992552 108280 6% 2.51 1.89 7.75 0.15 87.70 869 4 0 1078 2 0 29/09/22 23:16:39
16 2339848 2241244 1088 0 0 1992552 108280 6% 2.51 1.90 7.74 0.15 87.70 1159 3 0 876 4 0 29/09/22 23:16:40
17 2340652 2240440 1088 0 0 1992552 108280 6% 2.50 1.90 7.74 0.15 87.70 4116 16 0 3901 14 0 29/09/22 23:16:41
18 2340292 2240800 1088 0 0 1992552 108280 6% 2.50 1.90 7.74 0.15 87.71 2858 8 0 3576 11 0 29/09/22 23:16:42
19 2341072 2240020 1088 0 0 1992552 108280 6% 2.50 1.89 7.74 0.15 87.70 1411 5 0 1148 3 0 29/09/22 23:16:43
20 2340184 2240848 1088 0 0 1992552 108280 6% 2.50 1.89 7.75 0.15 87.69 1179 3 0 880 4 0 29/09/22 23:16:44
21 2340948 2240084 1088 0 0 1992552 108280 6% 2.50 1.89 7.75 0.15 87.69 1039 6 0 1131 6 0 29/09/22 23:16:45
22 2339584 2241448 1088 0 0 1992552 108280 6% 2.51 1.89 7.74 0.15 87.70 15287364 10228 0 73255 317 0 29/09/22 23:16:46
23 2341632 2219212 1088 0 0 1992552 108280 6% 2.52 1.90 7.76 0.15 87.66 3874206 2715 0 77744 256 0 29/09/22 23:16:47
24 2341756 2207408 1088 0 0 1992552 108280 6% 2.53 1.91 7.79 0.15 87.62 4379074 3050 0 80026 266 0 29/09/22 23:16:48
25 2340516 2204376 1088 0 0 1992552 108280 6% 2.54 1.91 7.81 0.15 87.58 3992611 2789 0 78721 253 0 29/09/22 23:16:50
26 2341116 2199532 1088 0 0 1992552 108280 6% 2.55 1.92 7.84 0.15 87.54 4010992 2801 0 74340 245 0 29/09/22 23:16:51
27 2340060 2193664 1088 0 0 1992552 108280 6% 2.56 1.92 7.86 0.15 87.50 3555336 2454 0 57741 198 0 29/09/22 23:16:52
28 2340644 2183152 1088 0 0 1992552 108280 6% 2.57 1.93 7.88 0.15 87.47 4087308 2851 0 79156 262 0 29/09/22 23:16:53
29 2339460 2163016 1088 0 0 1992552 108280 6% 2.58 1.93 7.90 0.15 87.43 4220385 2951 0 83601 279 0 29/09/22 23:16:54
30 2340112 2157732 1088 0 0 1992552 108280 6% 2.59 1.94 7.92 0.15 87.39 4312299 3015 0 82685 272 0 29/09/22 23:16:55
31 2338744 2154480 1088 0 0 1992552 108280 6% 2.60 1.94 7.95 0.15 87.35 4476130 3120 0 84509 277 0 29/09/22 23:16:56
32 2339200 2131616 1088 0 0 1992552 108280 6% 2.61 1.95 7.97 0.15 87.31 4269011 2977 0 81342 265 0 29/09/22 23:16:57
33 2338052 2128176 1088 0 0 1992552 108280 6% 2.62 1.95 7.99 0.15 87.27 3805460 2613 0 50214 181 0 29/09/22 23:16:58
34 2338876 2122892 1088 0 0 1992552 108280 6% 2.63 1.96 8.01 0.15 87.24 4102332 2858 0 75537 240 0 29/09/22 23:16:59
35 2338156 2102788 1088 0 0 1992552 108280 6% 2.65 1.96 8.03 0.15 87.20 4262954 2976 0 79293 259 0 29/09/22 23:17:01
36 2337352 2094944 1088 0 0 1992552 108280 6% 2.66 1.97 8.05 0.16 87.16 3962013 2701 0 46992 178 0 29/09/22 23:17:02
