Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 1981280 2134464 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 1089 4 0 965 3 0 28/09/22 21:25:09
2 1981640 2134100 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 935 3 0 965 3 0 28/09/22 21:25:10
3 1981284 2134456 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 969 3 0 965 3 0 28/09/22 21:25:11
4 1981260 2134480 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 4624 15 0 5402 16 0 28/09/22 21:25:12
5 1981008 2134732 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 967 3 0 963 3 0 28/09/22 21:25:13
6 1982012 2133724 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 1053 4 0 963 3 0 28/09/22 21:25:15
7 1981524 2134212 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 1160 5 0 1167 4 0 28/09/22 21:25:16
8 1982328 2133408 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 2221 8 0 2094 9 0 28/09/22 21:25:17
9 1982328 2133408 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 3229 9 0 2595 9 0 28/09/22 21:25:18
10 1981304 2134432 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 1053 4 0 963 3 0 28/09/22 21:25:19
11 1982108 2133628 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 967 3 0 963 3 0 28/09/22 21:25:20
12 1981580 2134156 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 2020 7 0 1926 6 0 28/09/22 21:25:21
13 1982328 2133408 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 4502 14 0 5400 16 0 28/09/22 21:25:22
14 1981304 2134432 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 1089 4 0 965 3 0 28/09/22 21:25:23
15 1982044 2133692 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 935 3 0 965 3 0 28/09/22 21:25:24
16 1981652 2134084 1096 0 0 1992552 108280 6% 1.65 0.50 3.02 0.11 94.71 1089 4 0 965 3 0 28/09/22 21:25:25
17 1982076 2133660 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 1128 5 0 1169 4 0 28/09/22 21:25:26
18 1981556 2134180 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 3990 11 0 3341 11 0 28/09/22 21:25:27
19 1982068 2133668 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 1055 4 0 965 3 0 28/09/22 21:25:29
20 1981360 2134376 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 969 3 0 965 3 0 28/09/22 21:25:30
21 1982116 2133620 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 1055 4 0 965 3 0 28/09/22 21:25:31
22 1981268 2134464 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 969 3 0 965 3 0 28/09/22 21:25:32
23 1982040 2133692 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 4618 15 0 5400 16 0 28/09/22 21:25:33
24 1981268 2134464 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 0 0 0 0 0 0 28/09/22 21:25:34
25 1982036 2133692 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 2024 7 0 1930 6 0 28/09/22 21:25:35
26 1981256 2134472 1096 0 0 1992552 108280 6% 1.65 0.50 3.01 0.11 94.71 1128 5 0 1169 4 0 28/09/22 21:25:36
