Cont MenUsed MenFree MenShared SwapUsed SwapFree DiskBlockKB DiskUsed DiskUsedPerc CpuUsr CpuSys CpuIOWait CpuSoft CpuIdle NetBytesReceived NetPackagesReceived NetErrsReceived NetBytesTransmitid NetPackagesTransmitid NetErrsTransmitid Data Hora
1 248508 4046536 1088 0 0 1992552 108280 6% 3.42 2.12 14.43 0.19 79.83 1469 4 0 1413 5 0 05/10/22 22:57:23
2 248700 4046340 1088 0 0 1992552 108280 6% 3.42 2.11 14.43 0.19 79.84 558 3 0 537 1 0 05/10/22 22:57:25
3 248868 4046164 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.84 1907 6 0 1950 6 0 05/10/22 22:57:26
4 248692 4046332 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.84 1825 8 0 2117 6 0 05/10/22 22:57:27
5 248756 4046268 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.85 2418 6 0 2111 8 0 05/10/22 22:57:28
6 250020 4045000 1088 0 0 1992552 108280 6% 3.42 2.11 14.44 0.19 79.83 431 2 0 537 1 0 05/10/22 22:57:29
7 249620 4045400 1088 0 0 1992552 108280 6% 3.42 2.11 14.43 0.19 79.84 1659 6 0 1413 5 0 05/10/22 22:57:30
8 250132 4044888 1088 0 0 1992552 108280 6% 3.42 2.11 14.43 0.19 79.84 431 2 0 537 1 0 05/10/22 22:57:31
9 249304 4045716 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.84 1595 5 0 1413 5 0 05/10/22 22:57:32
10 249972 4045040 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.85 1351 4 0 1215 4 0 05/10/22 22:57:33
11 249612 4045400 1088 0 0 1992552 108280 6% 3.42 2.11 14.43 0.19 79.84 1595 5 0 1413 5 0 05/10/22 22:57:34
12 250052 4044960 1088 0 0 1992552 108280 6% 3.42 2.11 14.43 0.19 79.85 431 2 0 537 1 0 05/10/22 22:57:35
13 249296 4045716 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.85 1595 5 0 1413 5 0 05/10/22 22:57:36
14 249980 4045032 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.85 3473 9 0 3482 12 0 05/10/22 22:57:37
15 249524 4045488 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.85 558 3 0 537 1 0 05/10/22 22:57:38
16 249980 4045032 1088 0 0 1992552 108280 6% 3.42 2.11 14.42 0.19 79.86 1468 4 0 1413 5 0 05/10/22 22:57:39
17 249580 4045432 1088 0 0 1992552 108280 6% 3.41 2.11 14.41 0.19 79.86 558 3 0 537 1 0 05/10/22 22:57:41
18 250092 4044920 1088 0 0 1992552 108280 6% 3.41 2.11 14.41 0.19 79.86 1468 4 0 1413 5 0 05/10/22 22:57:42
19 249980 4045032 1088 0 0 1992552 108280 6% 3.41 2.11 14.41 0.19 79.87 1471 5 0 1215 4 0 05/10/22 22:57:43
20 249200 4045812 1088 0 0 1992552 108280 6% 3.41 2.11 14.40 0.19 79.87 1475 4 0 1413 5 0 05/10/22 22:57:44
21 250092 4044920 1088 0 0 1992552 108280 6% 3.41 2.11 14.40 0.19 79.87 551 3 0 537 1 0 05/10/22 22:57:45
22 249192 4045820 1088 0 0 1992552 108280 6% 3.41 2.11 14.40 0.19 79.88 1475 4 0 1413 5 0 05/10/22 22:57:46
23 250012 4045000 1088 0 0 1992552 108280 6% 3.41 2.11 14.40 0.19 79.88 1825 8 0 2117 6 0 05/10/22 22:57:47
24 249332 4045680 1088 0 0 1992552 108280 6% 3.41 2.11 14.40 0.19 79.88 1886 5 0 2055 7 0 05/10/22 22:57:48
25 249980 4045032 1088 0 0 1992552 108280 6% 3.41 2.11 14.41 0.19 79.87 550 3 0 539 1 0 05/10/22 22:57:49
26 249492 4045520 1088 0 0 1992552 108280 6% 3.41 2.11 14.40 0.19 79.88 3696 9 0 2824 11 0 05/10/22 22:57:50
27 250168 4044828 1088 0 0 1992552 108280 6% 3.41 2.11 14.40 0.19 79.88 1494 4 0 1422 5 0 05/10/22 22:57:51
