ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 0.99 0.99 0.00 0.00 1.98 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:06
2 1.00 0.00 0.00 0.00 1.00 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:08
3 1.00 0.00 0.00 0.00 1.00 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:10
4 0.00 2.00 0.00 0.00 2.00 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:12
5 3.00 1.00 0.00 0.00 4.00 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:14
6 1.00 0.00 0.00 0.00 1.00 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:16
7 0.99 0.00 0.00 0.00 0.99 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:18
8 0.00 1.00 0.00 0.00 1.00 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:20
9 0.00 1.00 0.00 0.00 1.00 0.00 0.00 17.57 66 0 1069336 3245684 28/09/22 20:40:22
10 1.00 0.00 0.00 0.00 1.00 6.00 0.00 17.57 67 0 1069336 3246712 28/09/22 20:40:24
11 0.99 0.00 0.00 0.00 0.99 0.00 0.00 17.57 67 0 1069336 3246712 28/09/22 20:40:26
12 1.00 0.00 0.00 0.00 1.00 0.00 0.00 17.57 67 0 1069336 3246712 28/09/22 20:40:28
13 1.00 1.00 0.00 0.00 2.00 0.00 0.00 17.57 67 0 1069336 3246712 28/09/22 20:40:30
14 2.00 0.00 0.00 0.00 2.00 2.00 0.00 17.57 69 0 1069336 3246712 28/09/22 20:40:33
15 1.00 0.00 0.00 0.00 1.00 2.00 0.00 17.57 69 0 1069308 3246712 28/09/22 20:40:35
16 0.00 2.00 0.00 0.00 2.00 0.00 0.00 17.57 69 0 1069308 3246712 28/09/22 20:40:37
17 1.00 1.00 0.00 0.00 2.00 0.00 0.00 17.57 69 0 1069308 3246712 28/09/22 20:40:39
18 2.00 0.00 0.00 0.00 2.00 0.00 0.00 17.57 69 0 1069308 3246712 28/09/22 20:40:41
19 2.00 0.00 0.00 0.00 2.00 0.00 0.00 17.57 69 0 1069308 3246712 28/09/22 20:40:43
20 1.00 0.00 0.00 0.00 1.00 0.00 0.00 17.57 69 0 1069308 3246712 28/09/22 20:40:45
21 1.00 0.00 0.00 0.00 1.00 0.00 0.00 17.57 69 0 1069308 3246712 28/09/22 20:40:47
