ID CpuUsr CpuSys CpuGst CpuWait CpuPerc MinFlt MajFlt %MEM Threads Swap RSS Size Data Hora
1 0.00 1.00 0.00 0.00 1.00 0.00 0.00 1.88 69 0 114260 1807820 05/10/22 22:14:29
2 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.88 69 0 114260 1807820 05/10/22 22:14:31
3 0.00 1.98 0.00 0.00 1.98 0.99 0.00 1.88 69 0 114260 1807820 05/10/22 22:14:34
4 2.00 0.00 0.00 0.00 2.00 12.00 0.00 1.88 68 0 114232 1799624 05/10/22 22:14:36
5 2.00 0.00 0.00 0.00 2.00 0.00 0.00 1.88 68 0 114232 1799624 05/10/22 22:14:38
6 1.00 1.00 0.00 0.00 2.00 0.00 0.00 1.88 68 0 114232 1799624 05/10/22 22:14:40
7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.88 68 0 114232 1799624 05/10/22 22:14:42
8 1.00 1.00 0.00 0.00 2.00 1.00 0.00 1.88 68 0 114232 1799624 05/10/22 22:14:44
9 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.88 67 0 114220 1791428 05/10/22 22:14:46
10 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.88 67 0 114220 1791428 05/10/22 22:14:48
11 1.00 0.00 0.00 0.00 1.00 0.00 0.00 1.88 68 0 114364 1791428 05/10/22 22:14:50
12 1.00 0.00 0.00 0.00 1.00 13.00 0.00 1.88 69 0 114364 1792456 05/10/22 22:14:52
13 1.00 0.00 0.00 0.00 1.00 2.00 0.00 1.88 69 0 114364 1792456 05/10/22 22:14:54
14 28.00 21.00 0.00 0.00 49.00 14999.00 0.00 2.82 83 0 171836 1937336 05/10/22 22:14:56
15 25.00 22.00 0.00 0.00 47.00 5947.00 0.00 3.47 83 0 210884 1970668 05/10/22 22:14:58
16 33.66 2.97 0.00 0.00 36.63 2403.96 0.00 3.64 83 0 221892 1981748 05/10/22 22:15:00
17 26.00 13.00 0.00 0.00 39.00 2957.00 0.00 4.05 83 0 246148 2002136 05/10/22 22:15:02
18 30.00 7.00 0.00 0.00 37.00 853.00 0.00 4.55 84 0 276764 2039292 05/10/22 22:15:04
19 22.00 14.00 0.00 0.00 36.00 2394.00 0.00 4.88 84 0 297068 2058656 05/10/22 22:15:06
20 9.00 4.00 0.00 0.00 13.00 7.00 0.00 5.41 84 0 328956 2092736 05/10/22 22:15:08
21 24.00 14.00 0.00 0.00 38.00 1368.00 0.00 5.61 84 0 341464 2098736 05/10/22 22:15:10
22 34.65 16.83 0.00 0.00 51.49 8393.07 0.00 6.26 84 0 381152 2144736 05/10/22 22:15:12
23 22.00 14.00 0.00 0.00 36.00 156.00 0.00 6.28 84 0 382208 2144736 05/10/22 22:15:14
24 26.73 13.86 0.00 0.00 40.59 4351.49 0.00 6.75 84 0 410700 2173696 05/10/22 22:15:16
25 28.71 11.88 0.00 0.00 40.59 8007.92 0.00 7.34 84 0 446392 2206476 05/10/22 22:15:18
26 24.00 11.00 0.00 0.00 35.00 30.00 0.00 7.40 84 0 450300 2208088 05/10/22 22:15:20
27 22.00 14.00 0.00 0.00 36.00 1543.00 0.00 7.85 84 0 477480 2237888 05/10/22 22:15:22
28 6.00 9.00 0.00 0.00 15.00 1873.00 0.00 7.96 84 0 484556 2241516 05/10/22 22:15:24
29 23.00 11.00 0.00 0.00 34.00 69.00 0.00 8.34 84 0 507568 2268612 05/10/22 22:15:26
30 22.00 13.00 0.00 0.00 35.00 2806.00 0.00 8.55 84 0 520956 2279600 05/10/22 22:15:29
31 22.00 8.00 0.00 0.00 30.00 2296.00 0.00 8.83 84 0 537572 2295892 05/10/22 22:15:31
32 25.00 8.00 0.00 0.00 33.00 178.00 0.00 9.44 84 0 574672 2332488 05/10/22 22:15:33
33 21.00 4.00 0.00 0.00 25.00 2048.00 0.00 9.57 84 0 582256 2338540 05/10/22 22:15:35
34 21.00 19.00 0.00 0.00 40.00 2955.00 0.00 9.94 84 0 604652 2361448 05/10/22 22:15:37
35 12.00 9.00 0.00 0.00 21.00 1226.00 0.00 10.03 84 0 610384 2365292 05/10/22 22:15:39
36 26.00 13.00 0.00 0.00 39.00 4.00 0.00 10.09 84 0 613972 2370228 05/10/22 22:15:41
37 22.00 12.00 0.00 0.00 34.00 243.00 0.00 10.43 84 0 634332 2392112 05/10/22 22:15:43
38 23.00 19.00 0.00 0.00 42.00 5129.00 0.00 10.93 84 0 664908 2421912 05/10/22 22:15:45
39 23.00 12.00 0.00 0.00 35.00 36.00 0.00 10.94 84 0 665564 2423868 05/10/22 22:15:47
40 14.00 10.00 0.00 0.00 24.00 2.00 0.00 11.31 84 0 688052 2447616 05/10/22 22:15:49
41 21.00 22.00 0.00 0.00 43.00 3110.00 0.00 11.59 84 0 705436 2461492 05/10/22 22:15:51
42 23.00 33.00 0.00 0.00 56.00 9071.00 0.00 12.21 84 0 743172 2501532 05/10/22 22:15:53
43 23.00 12.00 0.00 0.00 35.00 18.00 0.00 12.23 83 0 744152 2501532 05/10/22 22:15:55
44 20.00 5.00 0.00 0.00 25.00 2439.00 0.00 12.39 83 0 753664 2509540 05/10/22 22:15:57
45 39.00 17.00 0.00 0.00 56.00 8098.00 0.00 13.08 83 0 795592 2554240 05/10/22 22:15:59
46 4.00 4.00 0.00 0.00 8.00 1120.00 0.00 13.15 83 0 800312 2554240 05/10/22 22:16:01
47 25.00 10.00 0.00 0.00 35.00 69.00 0.00 13.54 83 0 823904 2582740 05/10/22 22:16:03
48 25.00 19.00 0.00 0.00 44.00 4573.00 0.00 13.84 83 0 841920 2600528 05/10/22 22:16:05
49 22.00 12.00 0.00 0.00 34.00 2320.00 0.00 14.01 83 0 852724 2607604 05/10/22 22:16:07
50 32.00 23.00 0.00 0.00 55.00 7870.00 0.00 14.72 83 0 895880 2652856 05/10/22 22:16:09
51 19.00 7.00 0.00 0.00 26.00 2.00 0.00 14.72 83 0 895880 2652856 05/10/22 22:16:11
52 23.00 10.00 0.00 0.00 33.00 1984.00 0.00 14.95 83 0 909792 2664868 05/10/22 22:16:13
53 32.00 18.00 0.00 0.00 50.00 6908.00 0.00 15.59 83 0 948728 2704236 05/10/22 22:16:15
54 31.00 8.00 0.00 0.00 39.00 437.00 0.00 15.61 83 0 949652 2706192 05/10/22 22:16:17
55 9.00 6.00 0.00 0.00 15.00 1004.00 0.00 16.00 83 0 973824 2728536 05/10/22 22:16:19
56 25.00 25.00 0.00 0.00 50.00 8028.00 0.00 16.72 83 0 1017612 2770496 05/10/22 22:16:21
57 17.00 12.00 0.00 0.00 29.00 5.00 0.00 16.82 83 0 1023236 2776456 05/10/22 22:16:23
58 18.00 11.00 0.00 0.00 29.00 601.00 0.00 16.85 83 0 1025428 2778412 05/10/22 22:16:26
59 26.00 21.00 0.00 0.00 47.00 3926.00 0.00 17.37 83 0 1056596 2814264 05/10/22 22:16:28
60 10.00 10.00 0.00 0.00 20.00 1636.00 0.00 17.49 84 0 1064448 2818320 05/10/22 22:16:30
61 21.00 17.00 0.00 0.00 38.00 36.00 0.00 17.77 84 0 1081344 2837132 05/10/22 22:16:32
62 31.00 26.00 0.00 0.00 57.00 11356.00 0.00 18.62 86 0 1132824 2903712 05/10/22 22:16:34
63 16.00 8.00 0.00 0.00 24.00 735.00 0.00 18.66 86 0 1135424 2905668 05/10/22 22:16:36
64 22.00 17.00 0.00 0.00 39.00 40.00 0.00 18.66 86 0 1135564 2905668 05/10/22 22:16:38
65 16.00 7.00 0.00 0.00 23.00 619.00 0.00 18.80 86 0 1144092 2912560 05/10/22 22:16:40
66 20.00 12.00 0.00 0.00 32.00 3023.00 0.00 19.07 86 0 1160044 2929668 05/10/22 22:16:42
67 27.00 9.00 0.00 0.00 36.00 1.00 0.00 19.08 86 0 1161084 2932648 05/10/22 22:16:44
68 30.00 9.00 0.00 0.00 39.00 2601.00 0.00 19.32 86 0 1175760 2945868 05/10/22 22:16:46
69 12.00 9.00 0.00 0.00 21.00 55.00 0.00 19.83 86 0 1206608 2976600 05/10/22 22:16:48
70 25.00 15.00 0.00 0.00 40.00 436.00 0.00 19.95 86 0 1213696 2981844 05/10/22 22:16:50
71 29.00 9.00 0.00 0.00 38.00 15.00 0.00 20.25 86 0 1231880 3003912 05/10/22 22:16:52
72 26.00 7.00 0.00 0.00 33.00 14.00 0.00 20.97 86 0 1275884 3046564 05/10/22 22:16:54
73 7.00 4.00 0.00 0.00 11.00 164.00 0.00 21.03 86 0 1279812 3050476 05/10/22 22:16:56
74 24.00 10.00 0.00 0.00 34.00 1401.00 0.00 21.11 86 0 1284308 3055504 05/10/22 22:16:58
75 21.00 13.00 0.00 0.00 34.00 75.00 0.00 21.48 86 0 1306968 3078412 05/10/22 22:17:00
76 20.00 11.00 0.00 0.00 31.00 139.00 0.00 21.82 86 0 1327760 3097100 05/10/22 22:17:02
77 32.00 20.00 0.00 0.00 52.00 6104.00 0.00 22.27 85 0 1354828 3124852 05/10/22 22:17:04
78 31.00 15.00 0.00 0.00 46.00 3991.00 0.00 22.58 85 0 1373616 3144596 05/10/22 22:17:06
79 13.00 5.00 0.00 0.00 18.00 1264.00 0.00 22.68 85 0 1379868 3146552 05/10/22 22:17:08
80 25.00 11.00 0.00 0.00 36.00 615.00 0.00 22.91 85 0 1394108 3163500 05/10/22 22:17:10
81 13.00 7.00 0.00 0.00 20.00 1359.00 0.00 23.71 85 0 1442916 3211648 05/10/22 22:17:12
82 23.00 11.00 0.00 0.00 34.00 39.00 0.00 23.70 85 0 1442476 3211648 05/10/22 22:17:14
83 16.83 9.90 0.00 0.00 26.73 1157.43 0.00 23.79 85 0 1447688 3218632 05/10/22 22:17:16
84 9.90 9.90 0.00 0.00 19.80 4736.63 0.00 24.39 85 0 1484060 3260720 05/10/22 22:17:19
85 7.00 2.00 0.00 0.00 9.00 108.00 0.00 24.47 85 0 1488728 3264632 05/10/22 22:17:21
86 14.00 6.00 0.00 0.00 20.00 1263.00 0.00 24.81 85 0 1509468 3285676 05/10/22 22:17:23
87 20.00 8.00 0.00 0.00 28.00 34.00 0.00 25.41 85 0 1546248 3325624 05/10/22 22:17:25
88 23.00 12.00 0.00 0.00 35.00 85.00 0.00 25.41 85 0 1546104 3325624 05/10/22 22:17:27
89 16.00 5.00 0.00 0.00 21.00 2110.00 0.00 25.61 85 0 1558096 3335588 05/10/22 22:17:29
90 34.65 22.77 0.00 0.00 57.43 5349.50 0.00 26.19 85 0 1593508 3371624 05/10/22 22:17:31
91 13.86 18.81 0.00 0.00 32.67 4216.83 0.00 26.47 85 0 1610344 3386524 05/10/22 22:17:33
92 24.00 10.00 0.00 0.00 34.00 1675.00 0.00 26.59 84 0 1617696 3395464 05/10/22 22:17:35
93 17.00 11.00 0.00 0.00 28.00 214.00 0.00 27.13 84 0 1650860 3426472 05/10/22 22:17:37
94 23.00 9.00 0.00 0.00 32.00 725.00 0.00 27.18 84 0 1653832 3427496 05/10/22 22:17:39
95 34.65 30.69 0.00 0.00 65.35 7749.50 0.00 27.82 84 0 1692952 3469124 05/10/22 22:17:41
96 23.00 16.00 0.00 0.00 39.00 25.00 0.00 27.83 84 0 1693480 3469124 05/10/22 22:17:43
97 17.00 10.00 0.00 0.00 27.00 3961.00 0.00 28.10 84 0 1710048 3485188 05/10/22 22:17:45
98 10.89 7.92 0.00 0.00 18.81 1.98 0.00 28.10 84 0 1710048 3485188 05/10/22 22:17:47
99 22.00 15.00 0.00 0.00 37.00 8067.00 0.00 28.76 84 0 1750100 3525320 05/10/22 22:17:49
